Timestamp,Name,Location,Price,CarID,CurrentEmploymentType,CurrentEmploymentTitle
481140,Onda_Marin,Guy's Gyros,11.22,26,Engineering,Drill Site Manager
481260,Calixto_Nils,Gelatogalore,22.64,8,Information Technology,IT Technician
481320,Frente_Vira,Ouzeri Elian,20.4,19,Engineering,Hydraulic Technician
481560,Balas_Felix,Guy's Gyros,30.82,3,Engineering,Engineer
481560,Baza_Isak,KaterinaÂs CafÃ©,18.56,5,Information Technology,IT Technician
481560,Vasco-Pais_Willem,Guy's Gyros,99.67,35,Executive,Environmental Safety Advisor
481620,Cazar_Gustav,Kalami Kafenion,22.13,11,Engineering,Hydraulic Technician
481680,Lais_Cornelia,Ouzeri Elian,20.74,0,Unknown,Unknown
481680,Ovan_Bertrand,Ouzeri Elian,30.87,29,Facilities,Facilities Group Manager
481800,Dedos_Lidelse,KaterinaÂs CafÃ©,13.59,14,Engineering,Engineering Group Manager
481800,Frente_Birgitta,KaterinaÂs CafÃ©,32.64,18,Engineering,Geologist
481920,Mies_Minke,Kalami Kafenion,22.31,24,Security,Perimeter Control
481920,Orilla_Kare,Gelatogalore,36.33,27,Engineering,Drill Technician
481980,Nubarron_Adra,KaterinaÂs CafÃ©,36.95,25,Engineering,Geologist
482040,Osvaldo_Hennie,Abila Zacharo,23.15,21,Security,Perimeter Control
482220,Calzas_Axel,Hippokampos,8.64,9,Engineering,Drill Technician
482280,Coginian_Dante,Hippokampos,38.25,0,Unknown,Unknown
482340,Bodrogi_Loreto,KaterinaÂs CafÃ©,39.41,15,Security,Site Control
482400,Awelon_Varro,Kalami Kafenion,13.08,0,Unknown,Unknown
482400,Ferro_Inga,Gelatogalore,23.41,13,Security,Site Control
482640,Bramar_Mat,Hippokampos,30.88,0,Unknown,Unknown
482700,Cocinaro_Hideki,Abila Zacharo,78.11,12,Security,Site Control
483300,Arpa_Emile,Kalami Kafenion,27.4,0,Unknown,Unknown
483420,Resumir_Felix,KaterinaÂs CafÃ©,19.65,30,Security,Security Group Manager
486840,Hafon_Albina,Abila Airport,777.06,0,Facilities,Truck Driver
488340,Mies_Henk,Abila Airport,612.47,0,Facilities,Truck Driver
494880,Lagos_Varja,U-Pump,59.51,23,Security,Badging Office
500160,Lagos_Linda,KaterinaÂs CafÃ©,78.65,0,Unknown,Unknown
500880,Arpa_Emile,KaterinaÂs CafÃ©,26.46,0,Unknown,Unknown
501480,Flecha_Sven,Guy's Gyros,39.29,17,Information Technology,IT Technician
503400,Orilla_Elsa,Frydos Autosupply n' More,273.87,28,Engineering,Drill Technician
504420,Bergen_Linnea,KaterinaÂs CafÃ©,23.63,6,Information Technology,IT Group Manager
504480,Dedos_Lidelse,KaterinaÂs CafÃ©,12.32,14,Engineering,Engineering Group Manager
504540,Resumir_Felix,Guy's Gyros,11.94,30,Security,Security Group Manager
504720,Coginian_Dante,Frydos Autosupply n' More,80.85,0,Unknown,Unknown
504780,Lagos_Varja,Guy's Gyros,22.57,23,Security,Badging Office
504900,Fusil_Stenig,Guy's Gyros,117.82,20,Security,Building Control
504900,Lais_Cornelia,Frydos Autosupply n' More,175.87,0,Unknown,Unknown
505140,Forluniau_Carla,KaterinaÂs CafÃ©,21.66,0,Unknown,Unknown
505200,Cazar_Gustav,Hippokampos,35.34,11,Engineering,Hydraulic Technician
505440,Ferro_Inga,Guy's Gyros,28.94,13,Security,Site Control
505560,Alcazar_Lucas,Albert's Fine Clothing,276.9,1,Information Technology,IT Helpdesk
505680,Cocinaro_Hideki,Guy's Gyros,95.29,12,Security,Site Control
505740,Frente_Vira,Hippokampos,85.5,19,Engineering,Hydraulic Technician
505740,Osvaldo_Hennie,KaterinaÂs CafÃ©,17.92,21,Security,Perimeter Control
505800,Ribera_Anda,KaterinaÂs CafÃ©,28.0,0,Unknown,Unknown
505980,Ovan_Bertrand,KaterinaÂs CafÃ©,15.52,29,Facilities,Facilities Group Manager
506160,Calzas_Axel,Hippokampos,26.8,9,Engineering,Drill Technician
506760,Awelon_Varro,Hippokampos,24.41,0,Unknown,Unknown
506760,Azada_Lars,Hippokampos,21.33,2,Engineering,Engineer
506820,Mies Haber_Ruscella,Frydos Autosupply n' More,149.3,0,Unknown,Unknown
506940,Vann_Isia,Shoppers' Delight,293.67,16,Security,Perimeter Control
507120,Barranco_Ingrid,Hippokampos,17.27,4,Executive,SVP/CFO
507540,Orilla_Kare,KaterinaÂs CafÃ©,26.1,27,Engineering,Drill Technician
507780,Frente_Birgitta,KaterinaÂs CafÃ©,10.72,18,Engineering,Geologist
507780,Mies_Minke,Albert's Fine Clothing,121.76,24,Security,Perimeter Control
508260,Strum_Orhan,Hippokampos,28.14,32,Executive,SVP/COO
508320,Bramar_Mat,KaterinaÂs CafÃ©,26.51,0,Unknown,Unknown
508980,Nubarron_Adra,Frydos Autosupply n' More,197.32,25,Engineering,Geologist
509520,Onda_Marin,Frydos Autosupply n' More,314.98,26,Engineering,Drill Site Manager
510720,Campo-Corrente_Ada,Hippokampos,20.61,10,Executive,SVP/CIO
545220,Flecha_Sven,Brew've Been Served,5.08,17,Information Technology,IT Technician
545460,Lais_Cornelia,Brew've Been Served,12.74,0,Unknown,Unknown
545580,Vann_Edvard,Brew've Been Served,7.09,34,Security,Perimeter Control
545700,Calixto_Nils,Hallowed Grounds,14.05,8,Information Technology,IT Technician
545820,Arpa_Emile,Hallowed Grounds,8.91,0,Unknown,Unknown
546060,Dedos_Lidelse,Hallowed Grounds,19.59,14,Engineering,Engineering Group Manager
546300,Fusil_Stenig,Brew've Been Served,19.6,20,Security,Building Control
546360,Alcazar_Lucas,Hallowed Grounds,84.44,1,Information Technology,IT Helpdesk
546360,Ovan_Bertrand,Coffee Cameleon,9.1,29,Facilities,Facilities Group Manager
546420,Onda_Marin,Hallowed Grounds,7.88,26,Engineering,Drill Site Manager
546480,Cocinaro_Hideki,Hallowed Grounds,18.97,12,Security,Site Control
546540,Bergen_Linnea,Coffee Cameleon,27.66,6,Information Technology,IT Group Manager
546600,Mies Haber_Ruscella,Brew've Been Served,4.39,0,Unknown,Unknown
546600,Orilla_Kare,Hallowed Grounds,9.61,27,Engineering,Drill Technician
546720,Mies_Minke,Brew've Been Served,3.0,24,Security,Perimeter Control
546840,Herrero_Kanon,Brew've Been Served,11.92,22,Security,Badging Office
546900,Lagos_Varja,Brew've Been Served,69.06,23,Security,Badging Office
546960,Tempestad_Brand,Brew've Been Served,98.53,33,Engineering,Drill Technician
547020,Ribera_Anda,Hallowed Grounds,10.33,0,Unknown,Unknown
547080,Coginian_Dante,Brew've Been Served,17.4,0,Unknown,Unknown
547200,Bramar_Mat,Brew've Been Served,11.91,0,Unknown,Unknown
547200,Nubarron_Adra,Coffee Cameleon,11.55,25,Engineering,Geologist
547260,Forluniau_Carla,Coffee Cameleon,52.44,0,Unknown,Unknown
547260,Frente_Birgitta,Hallowed Grounds,9.92,18,Engineering,Geologist
547260,Pantanal_Rachel,Hallowed Grounds,68.42,0,Unknown,Unknown
547320,Osvaldo_Hennie,Brew've Been Served,14.49,21,Security,Perimeter Control
547560,Ferro_Inga,Brew've Been Served,3.03,13,Security,Site Control
547740,Lagos_Linda,Brew've Been Served,15.66,0,Unknown,Unknown
548280,Resumir_Felix,Brew've Been Served,47.74,30,Security,Security Group Manager
551820,Hawelon_Benito,Abila Airport,3840.37,0,Facilities,Truck Driver
554700,Hawelon_Benito,Stewart and Sons Fabrication,1200.9,0,Facilities,Truck Driver
555060,Morluniau_Cecilia,Nationwide Refinery,1347.36,0,Facilities,Truck Driver
559860,Morluniau_Cecilia,Stewart and Sons Fabrication,1843.33,0,Facilities,Truck Driver
560340,Morlun_Valeria,Nationwide Refinery,1562.66,0,Facilities,Truck Driver
561600,Awelon_Varro,Coffee Shack,16.63,0,Unknown,Unknown
561600,Azada_Lars,Bean There Done That,51.25,2,Engineering,Engineer
561600,Barranco_Ingrid,Brewed Awakenings,12.17,4,Executive,SVP/CFO
561600,Baza_Isak,Jack's Magical Beans,23.68,5,Information Technology,IT Technician
561600,Bodrogi_Loreto,Brewed Awakenings,64.84,15,Security,Site Control
561600,Borrasca_Isande,Brewed Awakenings,71.59,7,Engineering,Drill Technician
561600,Calzas_Axel,Bean There Done That,53.89,9,Engineering,Drill Technician
561600,Campo-Corrente_Ada,Brewed Awakenings,6.72,10,Executive,SVP/CIO
561600,Cazar_Gustav,Bean There Done That,8.03,11,Engineering,Hydraulic Technician
561600,Frente_Vira,Bean There Done That,46.25,19,Engineering,Hydraulic Technician
561600,Orilla_Elsa,Jack's Magical Beans,18.77,28,Engineering,Drill Technician
561600,Strum_Orhan,Jack's Magical Beans,19.61,32,Executive,SVP/COO
561600,Vasco-Pais_Willem,Jack's Magical Beans,69.84,35,Executive,Environmental Safety Advisor
561720,Hawelon_Benito,Nationwide Refinery,1071.04,0,Facilities,Truck Driver
563340,Mies_Henk,Abila Airport,124.89,0,Facilities,Truck Driver
565680,Morlun_Valeria,KaterinaÂs CafÃ©,59.07,0,Facilities,Truck Driver
565980,Strum_Orhan,Guy's Gyros,29.57,32,Executive,SVP/COO
566400,Azada_Lars,Abila Zacharo,13.52,2,Engineering,Engineer
566400,Campo-Corrente_Ada,Gelatogalore,35.06,10,Executive,SVP/CIO
566400,Vann_Isia,Guy's Gyros,38.56,16,Security,Perimeter Control
566640,Herrero_Kanon,Kalami Kafenion,45.05,22,Security,Badging Office
566640,Mies Haber_Ruscella,Kalami Kafenion,11.64,0,Unknown,Unknown
566700,Baza_Isak,Abila Zacharo,82.25,5,Information Technology,IT Technician
566940,Nubarron_Adra,Ouzeri Elian,29.1,25,Engineering,Geologist
567000,Onda_Marin,Gelatogalore,51.64,26,Engineering,Drill Site Manager
567120,Bramar_Mat,Ouzeri Elian,28.37,0,Unknown,Unknown
567180,Barranco_Ingrid,Abila Zacharo,52.72,4,Executive,SVP/CFO
567180,Bergen_Linnea,Gelatogalore,34.04,6,Information Technology,IT Group Manager
567180,Calixto_Nils,KaterinaÂs CafÃ©,22.27,8,Information Technology,IT Technician
567180,Fusil_Stenig,Guy's Gyros,11.31,20,Security,Building Control
567180,Vann_Edvard,Kalami Kafenion,18.06,34,Security,Perimeter Control
567240,Frente_Vira,Ouzeri Elian,64.84,19,Engineering,Hydraulic Technician
567300,Vasco-Pais_Willem,Gelatogalore,8.98,35,Executive,Environmental Safety Advisor
567420,Alcazar_Lucas,Gelatogalore,21.52,1,Information Technology,IT Helpdesk
567540,Osvaldo_Hennie,Gelatogalore,17.21,21,Security,Perimeter Control
567660,Lagos_Varja,KaterinaÂs CafÃ©,51.41,23,Security,Badging Office
567660,Tempestad_Brand,Abila Zacharo,17.81,33,Engineering,Drill Technician
567720,Lais_Cornelia,Ouzeri Elian,97.71,0,Unknown,Unknown
567840,Forluniau_Carla,Abila Zacharo,32.4,0,Unknown,Unknown
567900,Calzas_Axel,Kalami Kafenion,22.83,9,Engineering,Drill Technician
567960,Balas_Felix,Guy's Gyros,10.11,3,Engineering,Engineer
567960,Cocinaro_Hideki,Kalami Kafenion,22.14,12,Security,Site Control
568140,Pantanal_Rachel,Gelatogalore,36.5,0,Unknown,Unknown
568200,Lagos_Linda,Ouzeri Elian,21.85,0,Unknown,Unknown
568320,Dedos_Lidelse,Gelatogalore,71.77,14,Engineering,Engineering Group Manager
568380,Bodrogi_Loreto,Hippokampos,51.69,15,Security,Site Control
568440,Ovan_Bertrand,Gelatogalore,88.97,29,Facilities,Facilities Group Manager
568500,Ferro_Inga,Abila Zacharo,65.9,13,Security,Site Control
568560,Cazar_Gustav,Ouzeri Elian,16.2,11,Engineering,Hydraulic Technician
568620,Coginian_Dante,KaterinaÂs CafÃ©,37.44,0,Unknown,Unknown
568620,Ribera_Anda,Gelatogalore,15.4,0,Unknown,Unknown
568800,Orilla_Kare,Hippokampos,76.11,27,Engineering,Drill Technician
569220,Mies_Minke,KaterinaÂs CafÃ©,10.9,24,Security,Perimeter Control
569340,Frente_Birgitta,Guy's Gyros,12.57,18,Engineering,Geologist
569340,Resumir_Felix,Ouzeri Elian,59.51,30,Security,Security Group Manager
569460,Arpa_Emile,Hippokampos,37.57,0,Unknown,Unknown
569760,Scozzese_Dylan,Abila Scrapyard,2149.28,0,Facilities,Truck Driver
569940,Nant_Irene,Kronos Pipe and Irrigation,3920.82,0,Facilities,Truck Driver
570840,Morlun_Valeria,Carlyle Chemical Inc.,4803.13,0,Facilities,Truck Driver
572580,Scozzese_Dylan,Stewart and Sons Fabrication,962.2,0,Facilities,Truck Driver
573600,Nant_Irene,Maximum Iron and Steel,3207.31,0,Facilities,Truck Driver
574860,Mies_Henk,Abila Airport,3411.29,0,Facilities,Truck Driver
577440,Scozzese_Dylan,Nationwide Refinery,889.58,0,Facilities,Truck Driver
589500,Ferro_Inga,Guy's Gyros,14.87,13,Security,Site Control
589680,Lagos_Varja,Guy's Gyros,31.23,23,Security,Badging Office
590460,Calzas_Axel,Hippokampos,20.17,9,Engineering,Drill Technician
590520,Azada_Lars,Hippokampos,11.56,2,Engineering,Engineer
590640,Frente_Vira,Albert's Fine Clothing,308.36,19,Engineering,Hydraulic Technician
590940,Bergen_Linnea,KaterinaÂs CafÃ©,19.49,6,Information Technology,IT Group Manager
591000,Awelon_Varro,Albert's Fine Clothing,78.91,0,Unknown,Unknown
591000,Flecha_Sven,Guy's Gyros,42.25,17,Information Technology,IT Technician
591000,Vann_Edvard,Guy's Gyros,26.82,34,Security,Perimeter Control
591060,Nubarron_Adra,KaterinaÂs CafÃ©,10.07,25,Engineering,Geologist
591060,Tempestad_Brand,Guy's Gyros,76.71,33,Engineering,Drill Technician
591120,Dedos_Lidelse,KaterinaÂs CafÃ©,55.63,14,Engineering,Engineering Group Manager
591180,Calixto_Nils,KaterinaÂs CafÃ©,94.75,8,Information Technology,IT Technician
591180,Coginian_Dante,KaterinaÂs CafÃ©,65.02,0,Unknown,Unknown
591240,Bodrogi_Loreto,Guy's Gyros,62.33,15,Security,Site Control
591300,Orilla_Elsa,Ouzeri Elian,11.41,28,Engineering,Drill Technician
591480,Lagos_Linda,KaterinaÂs CafÃ©,31.6,0,Unknown,Unknown
591540,Vann_Isia,Guy's Gyros,89.76,16,Security,Perimeter Control
591600,Resumir_Felix,Frydos Autosupply n' More,312.73,30,Security,Security Group Manager
592320,Ovan_Bertrand,KaterinaÂs CafÃ©,19.53,29,Facilities,Facilities Group Manager
592380,Frente_Birgitta,KaterinaÂs CafÃ©,17.26,18,Engineering,Geologist
592380,Ribera_Anda,KaterinaÂs CafÃ©,25.54,0,Unknown,Unknown
592440,Cazar_Gustav,Hippokampos,70.19,11,Engineering,Hydraulic Technician
592440,Lais_Cornelia,Guy's Gyros,23.12,0,Unknown,Unknown
593220,Orilla_Kare,KaterinaÂs CafÃ©,32.83,27,Engineering,Drill Technician
593340,Pantanal_Rachel,Ouzeri Elian,20.53,0,Unknown,Unknown
593460,Strum_Orhan,Hippokampos,32.99,32,Executive,SVP/COO
594060,Osvaldo_Hennie,KaterinaÂs CafÃ©,33.29,21,Security,Perimeter Control
594180,Borrasca_Isande,Hippokampos,21.2,7,Engineering,Drill Technician
595020,Vasco-Pais_Willem,Hippokampos,37.88,35,Executive,Environmental Safety Advisor
595140,Onda_Marin,KaterinaÂs CafÃ©,18.35,26,Engineering,Drill Site Manager
595260,Barranco_Ingrid,Hippokampos,35.85,4,Executive,SVP/CFO
597060,Campo-Corrente_Ada,Hippokampos,22.18,10,Executive,SVP/CIO
631860,Vann_Isia,Brew've Been Served,15.66,16,Security,Perimeter Control
632340,Cocinaro_Hideki,Hallowed Grounds,12.19,12,Security,Site Control
632340,Dedos_Lidelse,Hallowed Grounds,8.15,14,Engineering,Engineering Group Manager
632340,Onda_Marin,Hallowed Grounds,8.28,26,Engineering,Drill Site Manager
632400,Arpa_Emile,Hallowed Grounds,5.85,0,Unknown,Unknown
632520,Bramar_Mat,Brew've Been Served,3.09,0,Unknown,Unknown
632580,Frente_Birgitta,Hallowed Grounds,3.4,18,Engineering,Geologist
632820,Orilla_Kare,Hallowed Grounds,3.11,27,Engineering,Drill Technician
632880,Bodrogi_Loreto,Brew've Been Served,32.92,15,Security,Site Control
632880,Fusil_Stenig,Brew've Been Served,8.27,20,Security,Building Control
632880,Tempestad_Brand,Brew've Been Served,19.17,33,Engineering,Drill Technician
633000,Osvaldo_Hennie,Brew've Been Served,33.68,21,Security,Perimeter Control
633000,Pantanal_Rachel,Hallowed Grounds,3.9,0,Unknown,Unknown
633060,Bergen_Linnea,Coffee Cameleon,6.59,6,Information Technology,IT Group Manager
633120,Ovan_Bertrand,Coffee Cameleon,12.26,29,Facilities,Facilities Group Manager
633300,Calixto_Nils,Hallowed Grounds,79.92,8,Information Technology,IT Technician
633300,Lagos_Varja,Brew've Been Served,91.87,23,Security,Badging Office
633360,Alcazar_Lucas,Hallowed Grounds,12.86,1,Information Technology,IT Helpdesk
633420,Lais_Cornelia,Brew've Been Served,74.88,0,Unknown,Unknown
633420,Ribera_Anda,Hallowed Grounds,11.63,0,Unknown,Unknown
633480,Mies Haber_Ruscella,Brew've Been Served,8.4,0,Unknown,Unknown
633540,Nubarron_Adra,Coffee Cameleon,15.71,25,Engineering,Geologist
633600,Vann_Edvard,Brew've Been Served,32.3,34,Security,Perimeter Control
633660,Coginian_Dante,Brew've Been Served,3.92,0,Unknown,Unknown
633660,Ferro_Inga,Brew've Been Served,17.13,13,Security,Site Control
633660,Flecha_Sven,Brew've Been Served,3.42,17,Information Technology,IT Technician
633780,Resumir_Felix,Brew've Been Served,10.15,30,Security,Security Group Manager
634140,Lagos_Linda,Brew've Been Served,11.48,0,Unknown,Unknown
634560,Herrero_Kanon,Brew've Been Served,7.26,22,Security,Badging Office
634680,Mies_Minke,Brew've Been Served,6.3,24,Security,Perimeter Control
634920,Forluniau_Carla,Coffee Cameleon,16.17,0,Unknown,Unknown
639780,Morlun_Valeria,Carlyle Chemical Inc.,3048.31,0,Facilities,Truck Driver
640440,Morlun_Adan,Nationwide Refinery,4513.16,0,Facilities,Truck Driver
641640,Morluniau_Cecilia,Nationwide Refinery,3674.32,0,Facilities,Truck Driver
646080,Morlun_Adan,Stewart and Sons Fabrication,1738.26,0,Facilities,Truck Driver
647880,Morluniau_Cecilia,Stewart and Sons Fabrication,1673.77,0,Facilities,Truck Driver
648000,Awelon_Varro,Coffee Shack,13.13,0,Unknown,Unknown
648000,Azada_Lars,Bean There Done That,17.45,2,Engineering,Engineer
648000,Balas_Felix,Bean There Done That,12.07,3,Engineering,Engineer
648000,Barranco_Ingrid,Brewed Awakenings,11.73,4,Executive,SVP/CFO
648000,Baza_Isak,Jack's Magical Beans,3.96,5,Information Technology,IT Technician
648000,Borrasca_Isande,Brewed Awakenings,12.32,7,Engineering,Drill Technician
648000,Calzas_Axel,Bean There Done That,8.06,9,Engineering,Drill Technician
648000,Campo-Corrente_Ada,Brewed Awakenings,15.03,10,Executive,SVP/CIO
648000,Cazar_Gustav,Bean There Done That,94.96,11,Engineering,Hydraulic Technician
648000,Orilla_Elsa,Jack's Magical Beans,18.78,28,Engineering,Drill Technician
648000,Strum_Orhan,Jack's Magical Beans,12.37,32,Executive,SVP/COO
648000,Vasco-Pais_Willem,Jack's Magical Beans,31.25,35,Executive,Environmental Safety Advisor
649740,Bodrogi_Loreto,Frank's Fuel,65.34,15,Security,Site Control
650700,Mies_Henk,Abila Airport,2723.18,0,Facilities,Truck Driver
651360,Borrasca_Isande,Chostus Hotel,107.51,7,Engineering,Drill Technician
651780,Nant_Irene,Carlyle Chemical Inc.,4983.52,0,Facilities,Truck Driver
652200,Mies Haber_Ruscella,Abila Zacharo,22.13,0,Unknown,Unknown
652320,Campo-Corrente_Ada,Hippokampos,26.55,10,Executive,SVP/CIO
652500,Vann_Edvard,Hippokampos,9.03,34,Security,Perimeter Control
652740,Morlun_Valeria,KaterinaÂs CafÃ©,29.26,0,Facilities,Truck Driver
652740,Tempestad_Brand,Chostus Hotel,111.89,33,Engineering,Drill Technician
652860,Strum_Orhan,Ouzeri Elian,109.73,32,Executive,SVP/COO
652980,Vasco-Pais_Willem,Abila Zacharo,36.85,35,Executive,Environmental Safety Advisor
653160,Bergen_Linnea,Hippokampos,16.59,6,Information Technology,IT Group Manager
653220,Lagos_Linda,Gelatogalore,32.79,0,Unknown,Unknown
653280,Baza_Isak,KaterinaÂs CafÃ©,8.53,5,Information Technology,IT Technician
653280,Osvaldo_Hennie,Gelatogalore,20.72,21,Security,Perimeter Control
653340,Ovan_Bertrand,Kalami Kafenion,24.08,29,Facilities,Facilities Group Manager
653460,Cazar_Gustav,Hippokampos,37.89,11,Engineering,Hydraulic Technician
653520,Flecha_Sven,Guy's Gyros,30.12,17,Information Technology,IT Technician
653640,Azada_Lars,Abila Zacharo,14.41,2,Engineering,Engineer
653640,Onda_Marin,KaterinaÂs CafÃ©,88.98,26,Engineering,Drill Site Manager
653880,Herrero_Kanon,Gelatogalore,50.36,22,Security,Badging Office
653940,Lagos_Varja,Gelatogalore,119.75,23,Security,Badging Office
654000,Bodrogi_Loreto,Guy's Gyros,77.9,15,Security,Site Control
654060,Nubarron_Adra,KaterinaÂs CafÃ©,26.45,25,Engineering,Geologist
654120,Calixto_Nils,Gelatogalore,35.29,8,Information Technology,IT Technician
654120,Coginian_Dante,Kalami Kafenion,22.49,0,Unknown,Unknown
654120,Frente_Vira,KaterinaÂs CafÃ©,57.04,19,Engineering,Hydraulic Technician
654180,Alcazar_Lucas,Hippokampos,39.8,1,Information Technology,IT Helpdesk
654240,Vann_Isia,Kalami Kafenion,31.96,16,Security,Perimeter Control
654300,Orilla_Kare,Kalami Kafenion,23.82,27,Engineering,Drill Technician
654360,Pantanal_Rachel,Abila Zacharo,28.25,0,Unknown,Unknown
654420,Calzas_Axel,KaterinaÂs CafÃ©,27.05,9,Engineering,Drill Technician
654420,Forluniau_Carla,Gelatogalore,22.27,0,Unknown,Unknown
654420,Lais_Cornelia,Ouzeri Elian,104.92,0,Unknown,Unknown
654480,Balas_Felix,Hippokampos,28.79,3,Engineering,Engineer
654480,Ferro_Inga,Gelatogalore,116.72,13,Security,Site Control
654660,Dedos_Lidelse,Guy's Gyros,15.86,14,Engineering,Engineering Group Manager
654660,Resumir_Felix,Abila Zacharo,30.85,30,Security,Security Group Manager
654720,Fusil_Stenig,Kalami Kafenion,14.77,20,Security,Building Control
